unix,open,high,low,close,Volume 
1682553600,28427,28437,28389,28406,1.41776471
1682467200,28306,30022,27242,28428,5277.187044
1682380800,27515,28392,27197,28300,1874.166251
1682294400,27594,27998,26981,27512,2236.655009
1682208000,27820,27820,27347,27596,798.0455277
1682121600,27253,27883,27137,27817,1010.447372
1682035200,28240,28362,27140,27254,2455.899696
1681948800,28814,29098,28005,28238,2450.063299
1681862400,30388,30423,28603,28827,3869.096549
1681776000,29452,30483,29122,30395,1827.467614
1681689600,30328,30337,29247,29448,2077.002929
1681603200,30327,30567,30157,30330,656.8116377
1681516800,30498,30620,30249,30332,560.6401066
1681430400,30411,31035,30001,30498,2540.140594
1681344000,29914,30614,29889,30410,1503.934272
1681257600,30255,30503,29689,29903,1926.941951
1681171200,29657,30575,29617,30246,2689.404895
1681084800,28353,29789,28184,29652,2711.673207
1680998400,27968,28544,27833,28340,718.5476578
1680912000,27931,28174,27891,27969,417.7631391
1680825600,28054,28118,27797,27931,436.4796401
1680739200,28181,28199,27723,28051,1064.880094
1680652800,28179,28782,27823,28183,1576.30734
1680566400,27820,28447,27686,28178,1294.597361
1680480000,28179,28506,27236,27816,2393.226229
1680393600,28469,28544,27891,28186,689.98224
1680307200,28476,28816,28237,28469,656.3367915
1680220800,28036,28653,27533,28476,2301.182362
1680134400,28353,29170,27706,28039,2912.725887
1680048000,27272,28650,27258,28353,2161.812926
1679961600,27142,27514,26647,27272,2137.041969
1679875200,27992,28051,26541,27142,2258.963936
1679788800,27493,28217,27453,28004,1100.203311
1679702400,27497,27810,27210,27499,963.8384074
1679616000,28352,29380,27043,27493,2789.449515
1679529600,27320,28818,27187,28343,3199.654512
1679443200,28184,28936,26688,27320,5024.210406
1679356800,27808,28497,27436,28192,2955.116286
1679270400,28081,28567,27231,27815,3998.093582
1679184000,26992,28474,26900,28054,2615.712518
1679097600,27466,27776,26707,26980,2933.796863
1679011200,25051,27818,24954,27466,5166.28277
1678924800,24361,25217,24229,25050,2430.850193
1678838400,24745,25273,23940,24368,4368.445714
1678752000,24210,26533,24070,24750,7966.023232
1678665600,22190,24618,21900,24209,6738.265743
1678579200,20615,22269,20456,22183,3599.494677
1678492800,20226,20874,19893,20618,3590.954075
1678406400,20368,20368,19569,20220,4695.236854
1678320000,21697,21824,20043,20367,3373.149107
1678233600,22197,22275,21590,21704,1477.184029
1678147200,22414,22547,21931,22200,1837.722341
1678060800,22427,22590,22263,22407,1156.23473
1677974400,22347,22652,22212,22428,944.6643297
1677888000,22359,22401,22170,22347,608.3476768
1677801600,23469,23477,22000,22359,2878.022196
1677715200,23632,23791,23206,23466,1090.903179
1677628800,23146,23990,23040,23634,1748.04687
1677542400,23497,23594,23048,23136,1185.704637
1677456000,23560,23890,23126,23493,1768.125736
1677369600,23166,23678,23068,23562,1019.200888
1677283200,23186,23215,22770,23161,863.3722174
1677196800,23939,24124,22865,23189,2782.788731
1677110400,24188,24590,23636,23939,2000.282213
1677024000,24450,24474,23594,24188,1951.95971
1676937600,24843,25250,24165,24450,2506.057382
1676851200,24271,25118,23862,24843,1828.537751
1676764800,24638,25183,24211,24296,1717.158161
1676678400,24577,24869,24450,24640,721.1887173
1676592000,23518,25014,23369,24580,3328.631204
1676505600,24332,25270,23520,23521,3634.800249
1676419200,22208,24374,22064,24332,2316.238303
1676332800,21790,22316,21569,22211,2032.442807
1676246400,21790,21897,21376,21790,1923.037408
1676160000,21868,22086,21649,21789,1481.78577
1676073600,21631,21904,21610,21868,699.372553
1675987200,21803,21939,21454,21639,1503.993238
1675900800,22965,23003,21700,21802,2260.785085
1675814400,23246,23439,22686,22961,1236.371401
1675728000,22761,23338,22751,23252,2758.475644
1675641600,22942,23148,22643,22763,1731.602845
1675555200,23328,23428,22766,22937,1525.50155
1675468800,23421,23582,23266,23330,778.7309127
1675382400,23503,23719,23212,23434,1742.071128
1675296000,23736,24258,23377,23498,2609.582527
1675209600,23134,23810,22768,23735,2468.522406
1675123200,22831,23318,22724,23127,1557.984591
1675036800,23748,23799,22504,22831,2081.822727
1674950400,23031,23954,22981,23746,1620.982795
1674864000,23082,23187,22894,23033,834.3522255
1674777600,23011,23500,22541,23083,2086.706475
1674691200,23063,23282,22866,23010,1472.744743
1674604800,22636,23815,22334,23054,2582.120433
1674518400,22922,23162,22473,22637,1953.732125
1674432000,22708,23167,22525,22922,1699.036477
1674345600,22791,23076,22314,22717,1548.970739
1674259200,22670,23362,22442,22783,3013.230072
1674172800,21085,22750,20869,22678,2937.147343
1674086400,20678,21185,20654,21086,2391.670691
1674000000,21136,21646,20358,20670,3794.756717
1673913600,21186,21594,20863,21134,2302.397361
1673827200,20879,21456,20634,21189,3236.957174
1673740800,20961,21052,20549,20885,1352.720258
1673654400,19936,21247,19895,20960,6843.48564
1673568000,18852,19991,18720,19931,3765.274259
1673481600,17948,19114,17911,18853,5124.558453
1673395200,17448,17992,17318,17930,1904.452316
1673308800,17177,17490,17147,17446,1354.435147
1673222400,17124,17393,17108,17179,2213.348246
1673136000,16946,17163,16915,17119,816.5720931
1673049600,16951,16975,16907,16945,523.7544244
1672963200,16826,17024,16669,16950,1738.579753
1672876800,16847,16871,16755,16826,1131.619417
1672790400,16673,16984,16652,16849,2038.030123
1672704000,16668,16766,16605,16670,1388.071966
1672617600,16615,16782,16552,16673,1046.727437
1672531200,16530,16622,16496,16615,473.832738
1672444800,16602,16627,16471,16528,602.4343716
1672358400,16628,16650,16337,16603,2223.643942
1672272000,16540,16650,16486,16628,1560.43977
1672185600,16699,16772,16465,16540,2220.788167
1672099200,16920,16961,16588,16700,2204.704065
1672012800,16828,16933,16801,16917,731.8569701
1671926400,16839,16850,16731,16828,717.9655727
1671840000,16779,16848,16779,16839,960.3266097
1671753600,16821,16916,16750,16779,2138.446688
1671667200,16823,16863,16570,16821,1946.30527
1671580800,16899,16919,16719,16824,1618.767299
1671494400,16441,17046,16402,16898,2115.978892
1671408000,16744,16815,16293,16446,2157.441546
1671321600,16780,16850,16676,16749,695.9909177
1671235200,16635,16794,16596,16781,1114.370244
1671148800,17361,17525,16572,16633,2853.96836
